time_window,p,d,q,P,D,Q,m,t,RMSE
3000,0,0,0,0,0,1,7,None,3.82630513315818
3000,0,0,1,0,0,0,0,None,3.99495657112279
3000,0,0,1,0,0,0,7,None,3.99495657112279
3000,0,0,1,1,0,0,0,None,None
3000,0,0,1,1,0,0,7,None,3.91289186476769
3000,0,0,1,2,0,0,0,None,None
3000,0,0,1,2,0,0,7,None,3.79458501901014
3000,0,0,1,2,0,1,0,None,None
3000,0,0,1,2,0,1,7,None,3.57407894872273
3000,2,0,0,0,0,0,0,None,3.99539986953649
3000,2,0,0,0,0,0,7,None,3.99539986953649
3000,2,0,0,0,0,1,0,None,None
3000,2,0,0,0,0,1,7,None,3.94163584406412
3000,2,0,0,1,0,0,0,None,None
3000,2,0,0,1,0,0,7,None,3.92286081567927
3000,2,0,0,1,0,1,0,None,None
3000,2,0,0,1,0,1,7,None,3.5828932085361
3000,2,0,1,0,0,0,7,None,3.96415251720449
3000,2,0,1,1,0,0,0,None,None
3000,2,0,1,1,0,0,7,None,3.85969370127175
3000,2,0,1,2,0,0,0,None,None
3000,2,0,1,2,0,0,7,None,3.73633618810555
3000,0,0,0,0,0,0,0,None,3.88072720804761
3000,0,0,0,2,0,0,0,None,None
3000,0,0,0,2,0,0,7,None,3.71163903851046
3000,0,0,1,0,0,1,0,None,None
3000,0,0,1,0,0,1,7,None,3.93330726620416
3000,0,0,1,1,0,1,0,None,None
3000,0,0,1,1,0,1,7,None,3.56235436162556
3000,1,0,0,2,0,0,0,None,None
3000,1,0,0,2,0,0,7,None,3.80499690843859
3000,1,0,0,2,0,1,0,None,None
3000,1,0,0,2,0,1,7,None,3.59091126960261
3000,2,0,1,0,0,0,0,None,3.96415251720449
3000,2,0,1,0,0,1,0,None,None
3000,2,0,1,0,0,1,7,None,3.88850428778277
3000,2,0,1,1,0,1,0,None,None
3000,2,0,1,1,0,1,7,None,3.58336217551132
3000,0,0,0,0,0,1,0,None,None
3000,0,0,0,1,0,0,0,None,None
3000,0,0,0,1,0,0,7,None,3.80987571271475
3000,0,0,0,2,0,1,0,None,None
3000,0,0,0,2,0,1,7,None,3.46442010570723
3000,1,0,1,0,0,0,0,None,4.00326060781312
3000,1,0,1,0,0,1,0,None,None
3000,1,0,1,0,0,1,7,None,3.94399085161984
3000,1,0,1,1,0,1,0,None,None
3000,1,0,1,1,0,1,7,None,3.58177394030136
3000,2,0,0,2,0,0,0,None,None
3000,2,0,0,2,0,0,7,None,3.80130845555253
3000,2,0,0,2,0,1,0,None,None
3000,2,0,0,2,0,1,7,None,3.59737290526325
3000,0,0,0,0,0,0,7,None,3.88072720804761
3000,0,0,0,1,0,1,0,None,None
3000,0,0,0,1,0,1,7,None,3.45629027259715
3000,1,0,0,0,0,0,0,None,4.0050035067997
3000,1,0,0,0,0,0,7,None,4.0050035067997
3000,1,0,0,0,0,1,0,None,None
3000,1,0,0,0,0,1,7,None,3.94427882987318
3000,1,0,0,1,0,0,0,None,None
3000,1,0,0,1,0,0,7,None,3.92372403974003
3000,1,0,0,1,0,1,0,None,None
3000,1,0,0,1,0,1,7,None,3.57983781776027
3000,1,0,1,0,0,0,7,None,4.00326060781312
3000,1,0,1,1,0,0,0,None,None
3000,1,0,1,1,0,0,7,None,3.92392083195915
3000,1,0,1,2,0,0,0,None,None
3000,1,0,1,2,0,0,7,None,3.80410145687304
3000,1,0,1,2,0,1,0,None,None
3000,1,0,1,2,0,1,7,None,3.59310525497191
3000,2,0,1,2,0,1,0,None,None
3000,2,0,1,2,0,1,7,None,3.57169724383918
730,0,0,0,0,0,0,7,None,3.88072720804761
730,0,0,0,2,0,0,0,None,None
730,0,0,0,2,0,0,7,None,3.7474305886133
730,0,0,1,0,0,1,0,None,None
730,0,0,1,0,0,1,7,None,3.97919875089343
730,0,0,1,1,0,1,0,None,None
730,0,0,1,1,0,1,7,None,3.62079007128806
730,1,0,0,2,0,0,0,None,None
730,1,0,0,2,0,0,7,None,3.87190450346904
730,1,0,0,2,0,1,0,None,None
730,1,0,0,2,0,1,7,None,3.66364520541401
730,2,0,1,0,0,0,0,None,4.01241677280719
730,2,0,1,0,0,1,0,None,None
730,2,0,1,0,0,1,7,None,3.95789479499061
730,2,0,1,1,0,1,0,None,None
730,2,0,1,1,0,1,7,None,3.66828836673724
730,0,0,0,0,0,1,0,None,None
730,0,0,0,1,0,0,0,None,None
730,0,0,0,1,0,0,7,None,3.83795966028184
730,0,0,0,2,0,1,0,None,None
730,0,0,0,2,0,1,7,None,3.51574012628013
730,1,0,1,0,0,0,0,None,4.03679522165845
730,1,0,1,0,0,0,7,None,4.03679522165845
730,1,0,1,0,0,1,0,None,None
730,1,0,1,0,0,1,7,None,3.99808450921191
730,1,0,1,1,0,1,0,None,None
730,1,0,1,1,0,1,7,None,3.64599212368627
730,2,0,0,2,0,0,0,None,None
730,2,0,0,2,0,0,7,None,3.87137849337937
730,2,0,0,2,0,1,0,None,None
730,2,0,0,2,0,1,7,None,3.67826109738957
730,0,0,0,0,0,1,7,None,3.84725728115109
730,0,0,1,0,0,0,0,None,4.01828207073588
730,0,0,1,0,0,0,7,None,4.01828207073588
730,0,0,1,1,0,0,0,None,None
730,0,0,1,1,0,0,7,None,3.96630662722778
730,0,0,1,2,0,0,0,None,None
730,0,0,1,2,0,0,7,None,3.85396925872164
730,0,0,1,2,0,1,0,None,None
730,0,0,1,2,0,1,7,None,3.64135821607921
730,2,0,0,0,0,0,0,None,4.03375950182506
730,2,0,0,0,0,0,7,None,4.03375950182506
730,2,0,0,0,0,1,0,None,None
730,2,0,0,0,0,1,7,None,3.99856120219167
730,2,0,0,1,0,0,0,None,None
730,2,0,0,1,0,0,7,None,3.98749421390271
730,2,0,0,1,0,1,0,None,None
730,2,0,0,1,0,1,7,None,3.64944743525446
730,2,0,1,0,0,0,7,None,4.01241677280719
730,2,0,1,1,0,0,0,None,None
730,2,0,1,1,0,0,7,None,3.93758464170716
730,2,0,1,2,0,0,0,None,None
730,2,0,1,2,0,0,7,None,3.8153343303187
365,0,0,0,0,0,0,7,None,3.88072720804761
365,0,0,0,2,0,0,0,None,None
365,0,0,0,2,0,0,7,None,3.78263364801007
365,0,0,1,0,0,1,0,None,None
365,0,0,1,0,0,1,7,None,4.02079755426586
365,0,0,1,1,0,1,0,None,None
365,0,0,1,1,0,1,7,None,3.89609149242237
365,1,0,0,1,0,1,0,None,None
365,1,0,0,1,0,1,7,None,3.91019415137376
365,1,0,1,0,0,1,0,None,None
365,1,0,1,0,0,1,7,None,4.02473082192363
365,1,0,1,2,0,0,0,None,None
365,1,0,1,2,0,0,7,None,3.91845767153361
365,2,0,0,0,0,1,0,None,None
365,2,0,0,0,0,1,7,None,4.04561374904316
365,2,0,0,2,0,0,0,None,None
365,2,0,0,2,0,0,7,None,3.94689074036423
365,2,0,1,0,0,0,0,None,4.02248734457365
365,2,0,1,0,0,0,7,None,4.02248734457365
365,2,0,1,1,0,0,0,None,None
365,2,0,1,1,0,0,7,None,3.98536972518144
365,0,0,0,0,0,1,0,None,None
365,0,0,0,1,0,0,0,None,None
365,0,0,0,1,0,0,7,None,3.85269243058375
365,0,0,0,2,0,1,0,None,None
365,0,0,0,2,0,1,7,None,3.76859158757778
365,1,0,0,2,0,0,0,None,None
365,1,0,0,2,0,0,7,None,3.93228938095202
365,1,0,1,0,0,0,0,None,4.04658635466424
365,1,0,1,0,0,0,7,None,4.04658635466424
365,1,0,1,1,0,0,0,None,None
365,1,0,1,1,0,0,7,None,4.02226468757634
365,1,0,1,2,0,1,0,None,None
365,1,0,1,2,0,1,7,None,3.88720144544628
365,2,0,1,1,0,1,0,None,None
365,2,0,1,1,0,1,7,None,3.87151291284991
365,0,0,0,0,0,1,7,None,3.86049551585125
365,0,0,1,0,0,0,0,None,4.03915906267825
365,0,0,1,0,0,0,7,None,4.03915906267825
365,0,0,1,1,0,0,0,None,None
365,0,0,1,1,0,0,7,None,4.02001566202439
365,0,0,1,2,0,1,0,None,None
365,0,0,1,2,0,1,7,None,3.86801827382345
365,1,0,1,1,0,1,0,None,None
365,1,0,1,1,0,1,7,None,3.90873542231899
365,2,0,0,1,0,1,0,None,None
365,2,0,0,1,0,1,7,None,3.93251609819732
365,2,0,1,0,0,1,0,None,None
365,2,0,1,0,0,1,7,None,3.99146823679777
365,2,0,1,2,0,0,0,None,None
365,2,0,1,2,0,0,7,None,3.86063240058094
365,0,0,0,0,0,0,0,None,3.88072720804761
365,0,0,0,1,0,1,0,None,None
365,0,0,0,1,0,1,7,None,3.80190812303282
365,0,0,1,2,0,0,0,None,None
365,0,0,1,2,0,0,7,None,3.91804886375078
365,1,0,0,0,0,0,0,None,4.07309787900065
365,1,0,0,0,0,0,7,None,4.07309787900065
365,1,0,0,0,0,1,0,None,None
365,1,0,0,0,0,1,7,None,4.04286754620211
365,1,0,0,1,0,0,0,None,None
365,1,0,0,1,0,0,7,None,4.03597931141034
365,1,0,0,2,0,1,0,None,None
365,1,0,0,2,0,1,7,None,3.89123162211595
365,2,0,0,0,0,0,0,None,4.06748017520806
365,2,0,0,0,0,0,7,None,4.06748017520806
365,2,0,0,1,0,0,0,None,None
365,2,0,0,1,0,0,7,None,4.04216353947546
365,2,0,0,2,0,1,0,None,None
365,2,0,0,2,0,1,7,None,3.90292032959554
365,2,0,1,2,0,1,0,None,None
365,2,0,1,2,0,1,7,None,3.82967589732082
90,0,0,0,0,0,1,0,None,None
90,0,0,0,0,0,1,7,None,3.8313949022277
90,0,0,1,0,0,1,0,None,None
90,0,0,1,0,0,1,7,None,3.86965744445637
90,0,0,1,1,0,1,0,None,None
90,0,0,1,1,0,1,7,None,3.72734838456991
90,1,0,0,2,0,1,0,None,None
90,1,0,0,2,0,1,7,None,3.7080676921655
90,2,0,0,0,0,0,0,None,3.87376905854049
90,2,0,0,0,0,0,7,None,3.87376905854049
90,2,0,0,0,0,1,0,None,None
90,2,0,0,0,0,1,7,None,3.84211722229062
90,2,0,0,1,0,0,0,None,None
90,2,0,0,1,0,0,7,None,3.8328268438021
90,2,0,0,2,0,0,0,None,None
90,2,0,0,2,0,0,7,None,3.82696370133739
90,2,0,1,0,0,0,0,None,3.87171706827647
90,2,0,1,0,0,0,7,None,3.87171706827647
90,2,0,1,0,0,1,0,None,None
90,2,0,1,0,0,1,7,None,3.85931611498824
90,0,0,0,0,0,0,7,None,3.88072720804761
90,0,0,0,2,0,0,0,None,None
90,0,0,0,2,0,0,7,None,3.77455356075909
90,0,0,1,0,0,0,0,None,3.88896369826658
90,0,0,1,0,0,0,7,None,3.88896369826658
90,0,0,1,1,0,0,0,None,None
90,0,0,1,1,0,0,7,None,3.85576647408291
90,0,0,1,2,0,0,0,None,None
90,0,0,1,2,0,0,7,None,3.82704028834985
90,1,0,0,0,0,0,0,None,3.89620626384627
90,1,0,0,0,0,0,7,None,3.89620626384627
90,1,0,0,0,0,1,0,None,None
90,1,0,0,0,0,1,7,None,3.85874498062682
90,1,0,0,1,0,1,0,None,None
90,1,0,0,1,0,1,7,None,3.69912139686093
90,1,0,1,1,0,1,0,None,None
90,1,0,1,1,0,1,7,None,3.72723768984967
90,2,0,0,2,0,1,0,None,None
90,2,0,0,2,0,1,7,None,3.70304727471579
90,2,0,1,2,0,0,0,None,None
90,2,0,1,2,0,0,7,None,3.87323596043968
90,0,0,0,1,0,0,0,None,None
90,0,0,0,1,0,0,7,None,3.82202555746886
90,0,0,0,2,0,1,0,None,None
90,0,0,0,2,0,1,7,None,3.67944743710169
90,1,0,0,1,0,0,0,None,None
90,1,0,0,1,0,0,7,None,3.85272086247938
90,1,0,0,2,0,0,0,None,None
90,1,0,0,2,0,0,7,None,3.82936575765078
90,1,0,1,0,0,0,0,None,3.87101150325762
90,1,0,1,0,0,0,7,None,3.87101150325762
90,1,0,1,1,0,0,0,None,None
90,1,0,1,1,0,0,7,None,3.8453065872306
90,1,0,1,2,0,1,0,None,None
90,1,0,1,2,0,1,7,None,3.72480500113618
90,2,0,1,1,0,1,0,None,None
90,2,0,1,1,0,1,7,None,3.77899864300966
90,0,0,0,0,0,0,0,None,3.88072720804761
90,0,0,0,1,0,1,0,None,None
90,0,0,0,1,0,1,7,None,3.66462690537063
90,0,0,1,2,0,1,0,None,None
90,0,0,1,2,0,1,7,None,3.72056832399094
90,1,0,1,0,0,1,0,None,None
90,1,0,1,0,0,1,7,None,3.84809709741357
90,1,0,1,2,0,0,0,None,None
90,1,0,1,2,0,0,7,None,3.85463757935288
90,2,0,0,1,0,1,0,None,None
90,2,0,0,1,0,1,7,None,3.74998224913183
90,2,0,1,1,0,0,0,None,None
90,2,0,1,1,0,0,7,None,3.88369499247573
90,2,0,1,2,0,1,0,None,None
90,2,0,1,2,0,1,7,None,3.77198417665214
